"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 07:13:50 GMT 2024","Sun Jun 16 07:13:51 GMT 2024","334","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
"passed","Sun Jun 16 07:13:49 GMT 2024","Sun Jun 16 07:13:50 GMT 2024","1109","tests","test_login","","","","Авторизаиця с недействительными учетными данными",""
"passed","Sun Jun 16 07:13:52 GMT 2024","Sun Jun 16 07:13:53 GMT 2024","350","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
"passed","Sun Jun 16 07:13:47 GMT 2024","Sun Jun 16 07:13:48 GMT 2024","281","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
"passed","Sun Jun 16 07:13:52 GMT 2024","Sun Jun 16 07:13:52 GMT 2024","503","tests","test_login","","","","Авторизаиця с недействительными учетными данными",""
"passed","Sun Jun 16 07:13:50 GMT 2024","Sun Jun 16 07:13:50 GMT 2024","361","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
"passed","Sun Jun 16 07:13:47 GMT 2024","Sun Jun 16 07:13:47 GMT 2024","290","tests","test_login","","","","Авторизаиця с недействительными учетными данными",""
"passed","Sun Jun 16 07:13:53 GMT 2024","Sun Jun 16 07:13:53 GMT 2024","327","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
"passed","Sun Jun 16 07:13:48 GMT 2024","Sun Jun 16 07:13:48 GMT 2024","258","tests","test_login","","","","Авторизаиця с корректными учетными данными",""
